 Time Control                                                Count 
[Event "Rated Classical game"] [TimeControl "120+18"]        8
[Event "Rated Classical game"] [TimeControl "120+20"]        109
[Event "Rated Classical game"] [TimeControl "120+25"]        2
[Event "Rated Classical game"] [TimeControl "120+30"]        319
[Event "Rated Classical game"] [TimeControl "120+40"]        68
[Event "Rated Classical game"] [TimeControl "120+90"]        4
[Event "Rated Classical game"] [TimeControl "120+180"]       3
[Event "Rated Blitz game"] [TimeControl "180+0"]             1381083
[Event "Rated Blitz tournament"] [TimeControl "180+0"]       460835
[Event "Rated Blitz game"] [TimeControl "180+1"]             37705
[Event "Rated Blitz tournament"] [TimeControl "180+1"]       1531
[Event "Rated Blitz game"] [TimeControl "180+2"]             380331
[Event "Rated Blitz tournament"] [TimeControl "180+2"]       115767
[Event "Rated Blitz game"] [TimeControl "180+3"]             31551
[Event "Rated Blitz game"] [TimeControl "180+4"]             5619
[Event "Rated Blitz game"] [TimeControl "180+5"]             15259
[Event "Rated Blitz game"] [TimeControl "180+6"]             1532
[Event "Rated Blitz game"] [TimeControl "180+7"]             3780
[Event "Rated Classical game"] [TimeControl "180+8"]         4561
[Event "Rated Classical game"] [TimeControl "180+9"]         425
[Event "Rated Classical game"] [TimeControl "180+10"]        2320
[Event "Rated Classical game"] [TimeControl "180+11"]        51
[Event "Rated Classical game"] [TimeControl "180+12"]        270
[Event "Rated Classical game"] [TimeControl "180+13"]        34
[Event "Rated Classical game"] [TimeControl "180+14"]        16
[Event "Rated Classical game"] [TimeControl "180+15"]        1600
[Event "Rated Classical game"] [TimeControl "180+16"]        4
[Event "Rated Classical game"] [TimeControl "180+17"]        54
[Event "Rated Classical game"] [TimeControl "180+18"]        6
[Event "Rated Classical game"] [TimeControl "180+19"]        2
[Event "Rated Classical game"] [TimeControl "180+20"]        291
[Event "Rated Classical game"] [TimeControl "180+25"]        51
[Event "Rated Classical game"] [TimeControl "180+30"]        900
[Event "Rated Classical game"] [TimeControl "180+40"]        1
[Event "Rated Classical game"] [TimeControl "180+45"]        24
[Event "Rated Classical game"] [TimeControl "180+60"]        1
[Event "Rated Classical game"] [TimeControl "180+150"]       1
[Event "Rated Classical game"] [TimeControl "180+180"]       4
[Event "Rated Blitz game"] [TimeControl "240+0"]             62008
[Event "Rated Blitz tournament"] [TimeControl "240+0"]       439
[Event "Rated Blitz game"] [TimeControl "240+1"]             6388
[Event "Rated Blitz tournament"] [TimeControl "240+1"]       72
[Event "Rated Blitz game"] [TimeControl "240+2"]             9848
[Event "Rated Blitz tournament"] [TimeControl "240+2"]       331
[Event "Rated Blitz game"] [TimeControl "240+3"]             5621
[Event "Rated Blitz game"] [TimeControl "240+4"]             7438
[Event "Rated Blitz game"] [TimeControl "240+5"]             7493
[Event "Rated Classical game"] [TimeControl "240+6"]         2142
[Event "Rated Classical game"] [TimeControl "240+7"]         1153
[Event "Rated Classical game"] [TimeControl "240+8"]         1039
[Event "Rated Classical game"] [TimeControl "240+9"]         464
[Event "Rated Classical game"] [TimeControl "240+10"]        553
[Event "Rated Classical game"] [TimeControl "240+11"]        12
[Event "Rated Classical game"] [TimeControl "240+12"]        107
[Event "Rated Classical game"] [TimeControl "240+14"]        551
[Event "Rated Classical game"] [TimeControl "240+15"]        359
[Event "Rated Classical game"] [TimeControl "240+17"]        10
[Event "Rated Classical game"] [TimeControl "240+18"]        2
[Event "Rated Classical game"] [TimeControl "240+19"]        2
[Event "Rated Classical game"] [TimeControl "240+20"]        157
[Event "Rated Classical game"] [TimeControl "240+25"]        5
[Event "Rated Classical game"] [TimeControl "240+30"]        33
[Event "Rated Classical game"] [TimeControl "240+40"]        2
[Event "Rated Classical game"] [TimeControl "240+45"]        41
[Event "Rated Classical game"] [TimeControl "240+60"]        7
[Event "Rated Classical game"] [TimeControl "240+180"]       1
[Event "Rated Blitz game"] [TimeControl "300+0"]             1819232
[Event "Rated Blitz tournament"] [TimeControl "300+0"]       307527
[Event "Rated Blitz game"] [TimeControl "300+1"]             22054
[Event "Rated Blitz tournament"] [TimeControl "300+1"]       89
[Event "Rated Blitz game"] [TimeControl "300+2"]             54325
[Event "Rated Blitz tournament"] [TimeControl "300+2"]       1534
[Event "Rated Blitz game"] [TimeControl "300+3"]             303928
[Event "Rated Blitz tournament"] [TimeControl "300+3"]       626
[Event "Rated Blitz game"] [TimeControl "300+4"]             38922
[Event "Rated Classical game"] [TimeControl "300+5"]         110559
[Event "Rated Classical tournament"] [TimeControl "300+5"]   66
[Event "Rated Classical game"] [TimeControl "300+6"]         9549
[Event "Rated Classical game"] [TimeControl "300+7"]         5693
[Event "Rated Classical game"] [TimeControl "300+8"]         103482
[Event "Rated Classical game"] [TimeControl "300+9"]         721
[Event "Rated Classical game"] [TimeControl "300+10"]        18438
[Event "Rated Classical tournament"] [TimeControl "300+10"]  241
[Event "Rated Classical game"] [TimeControl "300+11"]        32
[Event "Rated Classical game"] [TimeControl "300+12"]        1430
[Event "Rated Classical game"] [TimeControl "300+13"]        324
[Event "Rated Classical game"] [TimeControl "300+14"]        13
[Event "Rated Classical game"] [TimeControl "300+15"]        3322
[Event "Rated Classical game"] [TimeControl "300+16"]        19
[Event "Rated Classical game"] [TimeControl "300+17"]        545
[Event "Rated Classical game"] [TimeControl "300+18"]        17
[Event "Rated Classical game"] [TimeControl "300+19"]        54
[Event "Rated Classical game"] [TimeControl "300+20"]        2064
[Event "Rated Classical game"] [TimeControl "300+25"]        102
[Event "Rated Classical game"] [TimeControl "300+30"]        632
[Event "Rated Classical game"] [TimeControl "300+35"]        15
[Event "Rated Classical game"] [TimeControl "300+40"]        197
[Event "Rated Classical game"] [TimeControl "300+45"]        17
[Event "Rated Classical game"] [TimeControl "300+60"]        57
[Event "Rated Classical game"] [TimeControl "300+90"]        12
[Event "Rated Classical game"] [TimeControl "300+120"]       5
[Event "Rated Classical game"] [TimeControl "300+150"]       18
[Event "Rated Classical game"] [TimeControl "300+180"]       42
[Event "Rated Blitz game"] [TimeControl "360+0"]             34315
[Event "Rated Blitz tournament"] [TimeControl "360+0"]       115
[Event "Rated Blitz game"] [TimeControl "360+1"]             2184
[Event "Rated Blitz tournament"] [TimeControl "360+1"]       39
[Event "Rated Blitz game"] [TimeControl "360+2"]             5900
[Event "Rated Blitz tournament"] [TimeControl "360+2"]       54
